互动NO,1,人物,动作,对白
,,赵尧珂,,超越bro，今天的你有超越你自己吗？
,,杨超越,低头,我没有……/有呢！今天的我也超越自己了呢！
互动NO,2,杨超越,穿好衣服后又坐到床上蒙着头,昨晚练习到很晚，好累啊……呜呜呜我想睡觉……
,,陈意涵,进门,超超越越呢？
,,路人1和2,围观,
,,陈意涵,,特意过来参观吗？
,,路人1和2,消失,
,,陈意涵,,亲爱的，我们明天就考核了。
,,杨超越,,我想睡觉……
,,陈意涵,,我知道，我也想睡，但明天我们真的考核了。
,,杨超越,哭腔,好。
,,陈意涵、杨超越,（起来和陈意涵一起出去）,
互动NO,3,陈意涵,,超超越越，送你一双袜子！
,,杨超越,,好啊，谢谢意涵，我也送你一双！
,,杨超越,穿好陈意涵送的袜子，开开心心地出去,
,,姜彦汐,出现,欸，杨超越，你的袜子这么贵的吗？
,,杨超越,,啊？我不知道欸，陈意涵送我的……
,,姜彦汐,,你这双袜子八百多块……
,,杨超越,内心,这么贵？？？我给意涵送的是8.8包邮的袜子，下次再给她送其他礼物吧！
互动NO,4,杨超越,睡醒,啊，我怎么坐在这里睡着了……
,,杨涵,惊讶,超越你的眼睛怎么这么红？
,,杨超越,,啊？
,,路人1和2,围观,像兔子眼睛一样红，是不是发炎啦？
,,杨超越,,眼睛好难受，可能因为我的隐形眼镜是年抛的吧……我去跟节目组小姐姐说一下申请买新的。
